epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.083,0.84735,1.98057,1.13706,0.98861,0.99707,0.99488,0.89509,0.45748,1.77128,0.94871,0.000409836,0.000409836,0.000409836
2,459.014,0.58502,0.88792,0.96583,0.94904,0.99028,0.99012,0.88224,0.47056,1.28553,0.96229,0.000810138,0.000810138,0.000810138
3,1126.08,0.58057,0.78531,0.9562,0.98024,0.98918,0.99479,0.8846,0.50776,0.99575,0.974,0.00119394,0.00119394,0.00119394
4,1406.05,0.53292,0.67942,0.93874,0.99138,1,0.99489,0.90769,0.40779,0.71168,0.8777,0.00117575,0.00117575,0.00117575
5,1632.47,0.5069,0.5905,0.93567,0.99332,0.99943,0.995,0.93689,0.35346,0.65279,0.84664,0.001151,0.001151,0.001151
6,1861.17,0.47749,0.54002,0.92275,0.99751,1,0.995,0.94011,0.35416,0.52604,0.8577,0.00112625,0.00112625,0.00112625
7,2127.87,0.47117,0.49065,0.92674,0.98921,0.99673,0.995,0.93488,0.36666,0.52699,0.86042,0.0011015,0.0011015,0.0011015
8,2363.77,0.44577,0.44934,0.90685,0.9956,1,0.995,0.96759,0.27923,0.41536,0.83047,0.00107675,0.00107675,0.00107675
9,2593.36,0.43888,0.4146,0.90577,0.99777,0.99659,0.995,0.95689,0.29066,0.37901,0.84389,0.001052,0.001052,0.001052
10,2825.01,0.40988,0.38385,0.90232,0.99783,1,0.995,0.98558,0.26055,0.35689,0.82799,0.00102725,0.00102725,0.00102725
11,3054.13,0.40769,0.37626,0.89472,0.99643,1,0.995,0.96202,0.29896,0.34322,0.83057,0.0010025,0.0010025,0.0010025
12,3288.48,0.39142,0.35993,0.89622,0.99652,1,0.995,0.98027,0.23242,0.30007,0.8103,0.00097775,0.00097775,0.00097775
13,3520.73,0.36363,0.32935,0.88797,0.99646,1,0.995,0.96199,0.26406,0.32679,0.81676,0.000953,0.000953,0.000953
14,3756.8,0.3738,0.32548,0.8844,0.99742,1,0.995,0.98033,0.2299,0.25935,0.80807,0.00092825,0.00092825,0.00092825
15,3989.51,0.3561,0.30577,0.87925,0.99713,1,0.995,0.99131,0.22553,0.26688,0.80578,0.0009035,0.0009035,0.0009035
